score	seq	width	nucCons	file
1081.5112113542987	64	23	0.00	ia1_BEAM_noise14_7_run4.txt
1083.6264717666656	64	24	0.00	ia1_BEAM_noise14_7_run5.txt
1084.602870968773	64	24	0.00	ia1_BEAM_noise14_7_run6.txt
1080.7825855539872	64	24	0.00	ia1_BEAM_noise14_7_run7.txt
1085.7214999755486	64	24	0.00	ia1_BEAM_noise14_7_run8.txt
1082.9435533316685	64	24	0.00	ia1_BEAM_noise14_7_run9.txt
840.9533249614449	66	18	0.11	ia1_BEAM_noise14_8_run1.txt
838.4353034225918	67	18	0.11	ia1_BEAM_noise14_8_run2.txt
840.9533249614449	66	18	0.11	ia1_BEAM_noise14_8_run4.txt
838.5496978398526	68	18	0.11	ia1_BEAM_noise14_8_run5.txt
840.9533249614448	66	18	0.11	ia1_BEAM_noise14_8_run6.txt
840.9533249614449	66	18	0.11	ia1_BEAM_noise14_8_run7.txt
833.2406656455121	72	17	0.17	ia1_BEAM_noise14_9_run1.txt
870.7289171372416	69	18	0.16	ia1_BEAM_noise14_9_run10.txt
833.2175021066955	72	17	0.17	ia1_BEAM_noise14_9_run2.txt
833.0980862634999	71	17	0.17	ia1_BEAM_noise14_9_run3.txt
833.0980862634999	71	17	0.17	ia1_BEAM_noise14_9_run4.txt
833.0980862634999	71	17	0.17	ia1_BEAM_noise14_9_run5.txt
833.0980862634999	71	17	0.17	ia1_BEAM_noise14_9_run6.txt
870.4207517990749	70	18	0.16	ia1_BEAM_noise14_9_run7.txt
833.2175021066955	72	17	0.17	ia1_BEAM_noise14_9_run8.txt
833.2175021066955	72	17	0.17	ia1_BEAM_noise14_9_run9.txt
936.3063939434619	60	26	0.00	ia1_BEAM_noise21_10_run1.txt
943.4986627859897	60	26	0.00	ia1_BEAM_noise21_10_run4.txt
926.0771189763476	60	26	0.00	ia1_BEAM_noise21_10_run5.txt
941.801419651118	60	26	0.00	ia1_BEAM_noise21_10_run8.txt
932.1329401245982	59	26	0.00	ia1_BEAM_noise21_10_run9.txt
1021.5463804034447	59	23	0.00	ia1_BEAM_noise21_1_run1.txt
1032.6895033966389	59	26	0.00	ia1_BEAM_noise21_1_run10.txt
1029.0444752509272	56	26	0.00	ia1_BEAM_noise21_1_run2.txt
1034.284704100382	57	27	0.03	ia1_BEAM_noise21_1_run3.txt
1039.7110561529023	57	27	0.00	ia1_BEAM_noise21_1_run4.txt
1030.7092228630186	59	26	0.00	ia1_BEAM_noise21_1_run5.txt
809.6004633198202	67	18	0.05	ia1_BEAM_noise21_1_run6.txt
